"date";"T3B3"
"1";"2021-06-01 14:30:00";1909.090942
"2";"2021-06-01 14:45:00";1904.545044
"3";"2021-06-01 15:00:00";1904.545044
"4";"2021-06-01 15:15:00";1895.454956
"5";"2021-06-01 15:30:00";1895.454956
"6";"2021-06-01 15:45:00";1895.454956
"7";"2021-06-01 16:00:00";1886.364014
"8";"2021-06-01 16:15:00";1884.17040726834
"9";"2021-06-01 16:30:00";1886.364014
"10";"2021-06-01 16:45:00";1886.364014
"11";"2021-06-01 17:00:00";1886.364014
"12";"2021-06-01 17:15:00";1886.364014
"13";"2021-06-01 17:30:00";1886.364014
"14";"2021-06-01 17:45:00";1886.364014
"15";"2021-06-01 18:00:00";1886.364014
"16";"2021-06-01 18:15:00";1895.454956
"17";"2021-06-01 18:30:00";1904.35441603574
"18";"2021-06-01 18:45:00";1918.182007
"19";"2021-06-01 19:00:00";1940.909058
"20";"2021-06-01 19:15:00";1959.090942
"21";"2021-06-01 19:30:00";1977.272949
"22";"2021-06-01 19:45:00";1981.817993
"23";"2021-06-01 20:00:00";1990.909058
"24";"2021-06-01 20:15:00";2000
"25";"2021-06-01 20:30:00";2001.15242671737
"26";"2021-06-01 20:45:00";2000
"27";"2021-06-01 21:00:00";2004.546021
"28";"2021-06-01 21:15:00";2013.636963
"29";"2021-06-01 21:30:00";2013.636963
"30";"2021-06-01 21:45:00";2018.182007
"31";"2021-06-01 22:00:00";2018.182007
"32";"2021-06-01 22:15:00";2027.272949
"33";"2021-06-01 22:30:00";2036.364014
"34";"2021-06-01 22:45:00";2037.89661977077
"35";"2021-06-01 23:00:00";2036.364014
"36";"2021-06-01 23:15:00";2036.364014
"37";"2021-06-01 23:30:00";2036.364014
"38";"2021-06-01 23:45:00";2040.909058
"39";"2021-06-02 00:00:00";2040.909058
"40";"2021-06-02 00:15:00";2040.909058
"41";"2021-06-02 00:30:00";2040.909058
"42";"2021-06-02 00:45:00";2040.88736301318
"43";"2021-06-02 01:00:00";2040.909058
"44";"2021-06-02 01:15:00";2040.909058
"45";"2021-06-02 01:30:00";2040.909058
"46";"2021-06-02 01:45:00";2040.909058
"47";"2021-06-02 02:00:00";2040.909058
"48";"2021-06-02 02:15:00";2040.909058
"49";"2021-06-02 02:30:00";2040.909058
"50";"2021-06-02 02:45:00";2040.909058
"51";"2021-06-02 03:00:00";2038.67287503226
"52";"2021-06-02 03:15:00";2040.909058
"53";"2021-06-02 03:30:00";2050
"54";"2021-06-02 03:45:00";2050
"55";"2021-06-02 04:00:00";2050
"56";"2021-06-02 04:15:00";2050
"57";"2021-06-02 04:30:00";2050
"58";"2021-06-02 04:45:00";2050
"59";"2021-06-02 05:00:00";2049.99716946424
"60";"2021-06-02 05:15:00";2050
"61";"2021-06-02 05:30:00";2050
"62";"2021-06-02 05:45:00";2050
"63";"2021-06-02 06:00:00";2050
"64";"2021-06-02 06:15:00";2050
"65";"2021-06-02 06:30:00";2050
"66";"2021-06-02 06:45:00";2050
"67";"2021-06-02 07:00:00";2050
"68";"2021-06-02 07:15:00";2049.99999993261
"69";"2021-06-02 07:30:00";2050
"70";"2021-06-02 07:45:00";2050
"71";"2021-06-02 08:00:00";2050
"72";"2021-06-02 08:15:00";2050
"73";"2021-06-02 08:30:00";2050
"74";"2021-06-02 08:45:00";2050
"75";"2021-06-02 09:00:00";2050
"76";"2021-06-02 09:15:00";2050.00000000128
"77";"2021-06-02 09:30:00";2050
"78";"2021-06-02 09:45:00";2050
"79";"2021-06-02 10:00:00";2050
"80";"2021-06-02 10:15:00";2050
"81";"2021-06-02 10:30:00";2050
"82";"2021-06-02 10:45:00";2050
"83";"2021-06-02 11:00:00";2050
"84";"2021-06-02 11:15:00";2050
"85";"2021-06-02 11:30:00";2050.00005337819
"86";"2021-06-02 11:45:00";2050
"87";"2021-06-02 12:00:00";2050
"88";"2021-06-02 12:15:00";2050
"89";"2021-06-02 12:30:00";2050
"90";"2021-06-02 12:45:00";2050
"91";"2021-06-02 13:00:00";2050
"92";"2021-06-02 13:15:00";2050
"93";"2021-06-02 13:30:00";2049.39928180166
"94";"2021-06-02 13:45:00";2050
"95";"2021-06-02 14:00:00";2050
"96";"2021-06-02 14:15:00";2040.909058
"97";"2021-06-02 14:30:00";2040.909058
"98";"2021-06-02 14:45:00";2040.909058
"99";"2021-06-02 15:00:00";2040.909058
"100";"2021-06-02 15:15:00";2036.364014
"101";"2021-06-02 15:30:00";2036.364014
"102";"2021-06-02 15:45:00";2036.6666476171
"103";"2021-06-02 16:00:00";2036.364014
"104";"2021-06-02 16:15:00";2036.364014
"105";"2021-06-02 16:30:00";2036.364014
"106";"2021-06-02 16:45:00";2036.364014
"107";"2021-06-02 17:00:00";2036.364014
"108";"2021-06-02 17:15:00";2036.364014
"109";"2021-06-02 17:30:00";2036.364014
"110";"2021-06-02 17:45:00";2036.36402775646
"111";"2021-06-02 18:00:00";2036.364014
"112";"2021-06-02 18:15:00";2036.364014
"113";"2021-06-02 18:30:00";2036.364014
"114";"2021-06-02 18:45:00";2036.364014
"115";"2021-06-02 19:00:00";2036.364014
"116";"2021-06-02 19:15:00";2036.364014
"117";"2021-06-02 19:30:00";2036.364014
"118";"2021-06-02 19:45:00";2036.364014
"119";"2021-06-02 20:00:00";2038.63936651894
"120";"2021-06-02 20:15:00";2040.909058
"121";"2021-06-02 20:30:00";2040.909058
"122";"2021-06-02 20:45:00";2040.909058
"123";"2021-06-02 21:00:00";2040.909058
"124";"2021-06-02 21:15:00";2040.909058
"125";"2021-06-02 21:30:00";2040.909058
"126";"2021-06-02 21:45:00";2050
"127";"2021-06-02 22:00:00";2052.23633396104
"128";"2021-06-02 22:15:00";2050
"129";"2021-06-02 22:30:00";2050
"130";"2021-06-02 22:45:00";2050
"131";"2021-06-02 23:00:00";2050
"132";"2021-06-02 23:15:00";2050
"133";"2021-06-02 23:30:00";2050
"134";"2021-06-02 23:45:00";2050
"135";"2021-06-03 00:00:00";2049.99935491446
"136";"2021-06-03 00:15:00";2050
"137";"2021-06-03 00:30:00";2050
"138";"2021-06-03 00:45:00";2050
"139";"2021-06-03 01:00:00";2050
"140";"2021-06-03 01:15:00";2050
"141";"2021-06-03 01:30:00";2050
"142";"2021-06-03 01:45:00";2050
"143";"2021-06-03 02:00:00";2054.544922
"144";"2021-06-03 02:15:00";2052.27246117376
"145";"2021-06-03 02:30:00";2050
