"date";"T2B2"
"1";"2021-06-01 14:30:00";0
"2";"2021-06-01 14:45:00";0
"3";"2021-06-01 15:00:00";0
"4";"2021-06-01 15:15:00";0
"5";"2021-06-01 15:30:00";0
"6";"2021-06-01 15:45:00";0
"7";"2021-06-01 16:00:00";0
"8";"2021-06-01 16:15:00";-0.00593366470946769
"9";"2021-06-01 16:30:00";0
"10";"2021-06-01 16:45:00";0
"11";"2021-06-01 17:00:00";0
"12";"2021-06-01 17:15:00";0
"13";"2021-06-01 17:30:00";0
"14";"2021-06-01 17:45:00";0
"15";"2021-06-01 18:00:00";0
"16";"2021-06-01 18:15:00";0
"17";"2021-06-01 18:30:00";0
"18";"2021-06-01 18:45:00";0
"19";"2021-06-01 19:00:00";0
"20";"2021-06-01 19:15:00";0
"21";"2021-06-01 19:30:00";0
"22";"2021-06-01 19:45:00";0
"23";"2021-06-01 20:00:00";0
"24";"2021-06-01 20:15:00";2.27373675443232e-13
"25";"2021-06-01 20:30:00";0
"26";"2021-06-01 20:45:00";0
"27";"2021-06-01 21:00:00";-1.81898940354586e-12
"28";"2021-06-01 21:15:00";-4.54747350886464e-13
"29";"2021-06-01 21:30:00";-4.54747350886464e-13
"30";"2021-06-01 21:45:00";-4.54747350886464e-13
"31";"2021-06-01 22:00:00";-4.54747350886464e-13
"32";"2021-06-01 22:15:00";-4.54747350886464e-13
"33";"2021-06-01 22:30:00";-4.54747350886464e-13
"34";"2021-06-01 22:45:00";0.548530101295455
"35";"2021-06-01 23:00:00";-4.54747350886464e-13
"36";"2021-06-01 23:15:00";-4.54747350886464e-13
"37";"2021-06-01 23:30:00";-4.54747350886464e-13
"38";"2021-06-01 23:45:00";-4.54747350886464e-13
"39";"2021-06-02 00:00:00";-4.54747350886464e-13
"40";"2021-06-02 00:15:00";-4.54747350886464e-13
"41";"2021-06-02 00:30:00";-4.54747350886464e-13
"42";"2021-06-02 00:45:00";-1.75530573939295
"43";"2021-06-02 01:00:00";-4.54747350886464e-13
"44";"2021-06-02 01:15:00";-4.54747350886464e-13
"45";"2021-06-02 01:30:00";-4.54747350886464e-13
"46";"2021-06-02 01:45:00";-4.54747350886464e-13
"47";"2021-06-02 02:00:00";-4.54747350886464e-13
"48";"2021-06-02 02:15:00";-9.091003
"49";"2021-06-02 02:30:00";-13.6360019999997
"50";"2021-06-02 02:45:00";-22.7269970000002
"51";"2021-06-02 03:00:00";-23.3875565776711
"52";"2021-06-02 03:15:00";-27.2730030000007
"53";"2021-06-02 03:30:00";-45.4550020000011
"54";"2021-06-02 03:45:00";-59.0910000000008
"55";"2021-06-02 04:00:00";-63.6360019999997
"56";"2021-06-02 04:15:00";-81.8180010000001
"57";"2021-06-02 04:30:00";-95.4550000000004
"58";"2021-06-02 04:45:00";-100
"59";"2021-06-02 05:00:00";-91.5926847647465
"60";"2021-06-02 05:15:00";-100
"61";"2021-06-02 05:30:00";-100
"62";"2021-06-02 05:45:00";-100
"63";"2021-06-02 06:00:00";-100
"64";"2021-06-02 06:15:00";-99.9999999999998
"65";"2021-06-02 06:30:00";-104.546021000002
"66";"2021-06-02 06:45:00";-99.9999999999998
"67";"2021-06-02 07:00:00";-150
"68";"2021-06-02 07:15:00";-178.26304468433
"69";"2021-06-02 07:30:00";-163.636963000001
"70";"2021-06-02 07:45:00";-163.636963000001
"71";"2021-06-02 08:00:00";-163.636963000001
"72";"2021-06-02 08:15:00";-172.728028000001
"73";"2021-06-02 08:30:00";-172.728028000001
"74";"2021-06-02 08:45:00";-172.728028000001
"75";"2021-06-02 09:00:00";-172.728028000001
"76";"2021-06-02 09:15:00";-172.68696565042
"77";"2021-06-02 09:30:00";-172.728028000001
"78";"2021-06-02 09:45:00";-172.728028000001
"79";"2021-06-02 10:00:00";-172.728028000001
"80";"2021-06-02 10:15:00";-172.728028000001
"81";"2021-06-02 10:30:00";-172.728028000001
"82";"2021-06-02 10:45:00";-163.636963000001
"83";"2021-06-02 11:00:00";-136.364014
"84";"2021-06-02 11:15:00";-122.728028000001
"85";"2021-06-02 11:30:00";-117.98766299387
"86";"2021-06-02 11:45:00";-113.636963000001
"87";"2021-06-02 12:00:00";-104.546021000002
"88";"2021-06-02 12:15:00";-90.9090580000009
"89";"2021-06-02 12:30:00";-77.2730719999997
"90";"2021-06-02 12:45:00";-63.6369630000006
"91";"2021-06-02 13:00:00";-54.5460210000017
"92";"2021-06-02 13:15:00";-45.4549560000012
"93";"2021-06-02 13:30:00";-42.8264501952506
"94";"2021-06-02 13:45:00";-40.9090580000009
"95";"2021-06-02 14:00:00";-31.81897
"96";"2021-06-02 14:15:00";-18.182007000001
"97";"2021-06-02 14:30:00";-9.0910650000003
"98";"2021-06-02 14:45:00";-4.5460210000017
"99";"2021-06-02 15:00:00";-4.5460210000017
"100";"2021-06-02 15:15:00";4.54504399999882
"101";"2021-06-02 15:30:00";-4.5460210000017
"102";"2021-06-02 15:45:00";-2.8497258197001
"103";"2021-06-02 16:00:00";4.54504399999882
"104";"2021-06-02 16:15:00";4.54504399999882
"105";"2021-06-02 16:30:00";4.54504399999882
"106";"2021-06-02 16:45:00";4.54504399999882
"107";"2021-06-02 17:00:00";4.54504399999882
"108";"2021-06-02 17:15:00";4.54504399999882
"109";"2021-06-02 17:30:00";4.54504399999882
"110";"2021-06-02 17:45:00";4.58861820329935
"111";"2021-06-02 18:00:00";4.54504399999882
"112";"2021-06-02 18:15:00";4.54504399999882
"113";"2021-06-02 18:30:00";4.54504399999882
"114";"2021-06-02 18:45:00";4.54504399999882
"115";"2021-06-02 19:00:00";13.6359859999995
"116";"2021-06-02 19:15:00";13.6359859999995
"117";"2021-06-02 19:30:00";13.6359859999995
"118";"2021-06-02 19:45:00";13.6359859999995
"119";"2021-06-02 20:00:00";13.5929679098392
"120";"2021-06-02 20:15:00";13.6359859999995
"121";"2021-06-02 20:30:00";13.6359859999995
"122";"2021-06-02 20:45:00";13.6359859999995
"123";"2021-06-02 21:00:00";13.6359859999995
"124";"2021-06-02 21:15:00";13.6359859999995
"125";"2021-06-02 21:30:00";13.6359859999995
"126";"2021-06-02 21:45:00";13.6359859999995
"127";"2021-06-02 22:00:00";13.6360244305999
"128";"2021-06-02 22:15:00";13.6359859999995
"129";"2021-06-02 22:30:00";13.6359859999995
"130";"2021-06-02 22:45:00";13.6359859999995
"131";"2021-06-02 23:00:00";13.6359859999995
"132";"2021-06-02 23:15:00";13.6359859999995
"133";"2021-06-02 23:30:00";13.6359859999995
