"date";"T1A4"
"121";"2021-06-02 20:30:00";17553.0293
"122";"2021-06-02 20:45:00";17553.0293
"123";"2021-06-02 21:00:00";17553.0293
"124";"2021-06-02 21:15:00";17560.60547
"125";"2021-06-02 21:30:00";17553.0293
"126";"2021-06-02 21:45:00";17553.0293
"127";"2021-06-02 22:00:00";17551.6222901719
"128";"2021-06-02 22:15:00";17553.0293
"129";"2021-06-02 22:30:00";17560.60547
"130";"2021-06-02 22:45:00";17560.60547
"131";"2021-06-02 23:00:00";17568.18164
"132";"2021-06-02 23:15:00";17560.60547
"133";"2021-06-02 23:30:00";17568.18164
"134";"2021-06-02 23:45:00";17568.18164
"135";"2021-06-03 00:00:00";17567.5582611069
"136";"2021-06-03 00:15:00";17568.18164
"137";"2021-06-03 00:30:00";17568.18164
"138";"2021-06-03 00:45:00";17568.18164
"139";"2021-06-03 01:00:00";17568.18164
"140";"2021-06-03 01:15:00";17575.75781
"141";"2021-06-03 01:30:00";17568.18164
"142";"2021-06-03 01:45:00";17575.75781
"143";"2021-06-03 02:00:00";17575.75781
"144";"2021-06-03 02:15:00";17575.0911295257
"145";"2021-06-03 02:30:00";17575.75781
"146";"2021-06-03 02:45:00";17575.75781
"147";"2021-06-03 03:00:00";17575.75781
"148";"2021-06-03 03:15:00";17575.75781
"149";"2021-06-03 03:30:00";17575.75781
"150";"2021-06-03 03:45:00";17575.75781
"151";"2021-06-03 04:00:00";17583.33203
"152";"2021-06-03 04:15:00";17585.5217067385
"153";"2021-06-03 04:30:00";17583.33203
"154";"2021-06-03 04:45:00";17583.33203
"155";"2021-06-03 05:00:00";17590.9082
"156";"2021-06-03 05:15:00";17598.48438
"157";"2021-06-03 05:30:00";17590.9082
"158";"2021-06-03 05:45:00";17590.9082
"159";"2021-06-03 06:00:00";17583.33203
"160";"2021-06-03 06:15:00";17590.9082
"161";"2021-06-03 06:30:00";17593.8157565354
"162";"2021-06-03 06:45:00";17590.9082
"163";"2021-06-03 07:00:00";17590.9082
"164";"2021-06-03 07:15:00";17598.48438
"165";"2021-06-03 07:30:00";17598.48438
"166";"2021-06-03 07:45:00";17598.48438
"167";"2021-06-03 08:00:00";17598.48438
"168";"2021-06-03 08:15:00";17606.06055
"169";"2021-06-03 08:30:00";17608.0481493853
"170";"2021-06-03 08:45:00";17606.06055
