"date";"T3A5"
"1";"2021-06-01 14:30:00";0
"2";"2021-06-01 14:45:00";0
"3";"2021-06-01 15:00:00";0
"4";"2021-06-01 15:15:00";0
"5";"2021-06-01 15:30:00";0
"6";"2021-06-01 15:45:00";0
"7";"2021-06-01 16:00:00";0
"8";"2021-06-01 16:15:00";4.03394262562846e-281
"9";"2021-06-01 16:30:00";0
"10";"2021-06-01 16:45:00";0
"11";"2021-06-01 17:00:00";0
"12";"2021-06-01 17:15:00";0
"13";"2021-06-01 17:30:00";0
"14";"2021-06-01 17:45:00";0
"15";"2021-06-01 18:00:00";0
"16";"2021-06-01 18:15:00";0
"17";"2021-06-01 18:30:00";1.69427586482357e-276
"18";"2021-06-01 18:45:00";0
"19";"2021-06-01 19:00:00";0
"20";"2021-06-01 19:15:00";0
"21";"2021-06-01 19:30:00";0
"22";"2021-06-01 19:45:00";0
"23";"2021-06-01 20:00:00";0
"24";"2021-06-01 20:15:00";0
"25";"2021-06-01 20:30:00";-1.90673806137031e-272
"26";"2021-06-01 20:45:00";0
"27";"2021-06-01 21:00:00";0
"28";"2021-06-01 21:15:00";0
"29";"2021-06-01 21:30:00";0
"30";"2021-06-01 21:45:00";0
"31";"2021-06-01 22:00:00";0
"32";"2021-06-01 22:15:00";0
"33";"2021-06-01 22:30:00";0
"34";"2021-06-01 22:45:00";-8.00839511387617e-268
"35";"2021-06-01 23:00:00";0
"36";"2021-06-01 23:15:00";0
"37";"2021-06-01 23:30:00";0
"38";"2021-06-01 23:45:00";0
"39";"2021-06-02 00:00:00";0
"40";"2021-06-02 00:15:00";0
"41";"2021-06-02 00:30:00";0
"42";"2021-06-02 00:45:00";9.01264787579902e-264
"43";"2021-06-02 01:00:00";0
"44";"2021-06-02 01:15:00";0
"45";"2021-06-02 01:30:00";0
"46";"2021-06-02 01:45:00";0
"47";"2021-06-02 02:00:00";0
"48";"2021-06-02 02:15:00";0
"49";"2021-06-02 02:30:00";0
"50";"2021-06-02 02:45:00";0
"51";"2021-06-02 03:00:00";3.78535713289135e-259
"52";"2021-06-02 03:15:00";0
"53";"2021-06-02 03:30:00";0
"54";"2021-06-02 03:45:00";0
"55";"2021-06-02 04:00:00";0
"56";"2021-06-02 04:15:00";0
"57";"2021-06-02 04:30:00";0
"58";"2021-06-02 04:45:00";0
"59";"2021-06-02 05:00:00";-4.26004092427718e-255
"60";"2021-06-02 05:15:00";0
"61";"2021-06-02 05:30:00";0
"62";"2021-06-02 05:45:00";0
"63";"2021-06-02 06:00:00";0
"64";"2021-06-02 06:15:00";0
"65";"2021-06-02 06:30:00";0
"66";"2021-06-02 06:45:00";0
"67";"2021-06-02 07:00:00";0
"68";"2021-06-02 07:15:00";-1.78923847035265e-250
"69";"2021-06-02 07:30:00";0
"70";"2021-06-02 07:45:00";0
"71";"2021-06-02 08:00:00";0
"72";"2021-06-02 08:15:00";0
"73";"2021-06-02 08:30:00";0
"74";"2021-06-02 08:45:00";0
"75";"2021-06-02 09:00:00";0
"76";"2021-06-02 09:15:00";2.01360897780636e-246
"77";"2021-06-02 09:30:00";0
"78";"2021-06-02 09:45:00";0
"79";"2021-06-02 10:00:00";0
"80";"2021-06-02 10:15:00";0
"81";"2021-06-02 10:30:00";0
"82";"2021-06-02 10:45:00";0
"83";"2021-06-02 11:00:00";0
"84";"2021-06-02 11:15:00";0
"85";"2021-06-02 11:30:00";8.45725830192563e-242
"86";"2021-06-02 11:45:00";0
"87";"2021-06-02 12:00:00";0
"88";"2021-06-02 12:15:00";0
"89";"2021-06-02 12:30:00";0
"90";"2021-06-02 12:45:00";0
"91";"2021-06-02 13:00:00";0
"92";"2021-06-02 13:15:00";0
"93";"2021-06-02 13:30:00";-9.5177985084506e-238
"94";"2021-06-02 13:45:00";0
"95";"2021-06-02 14:00:00";0
"96";"2021-06-02 14:15:00";0
"97";"2021-06-02 14:30:00";0
"98";"2021-06-02 14:45:00";0
"99";"2021-06-02 15:00:00";0
"100";"2021-06-02 15:15:00";0
"101";"2021-06-02 15:30:00";0
"102";"2021-06-02 15:45:00";-3.99752292221801e-233
"103";"2021-06-02 16:00:00";0
"104";"2021-06-02 16:15:00";0
"105";"2021-06-02 16:30:00";0
"106";"2021-06-02 16:45:00";0
"107";"2021-06-02 17:00:00";0
"108";"2021-06-02 17:15:00";0
"109";"2021-06-02 17:30:00";0
"110";"2021-06-02 17:45:00";4.49881230397334e-229
"111";"2021-06-02 18:00:00";0
"112";"2021-06-02 18:15:00";0
"113";"2021-06-02 18:30:00";0
"114";"2021-06-02 18:45:00";0
"115";"2021-06-02 19:00:00";0
"116";"2021-06-02 19:15:00";0
"117";"2021-06-02 19:30:00";0
"118";"2021-06-02 19:45:00";0
"119";"2021-06-02 20:00:00";1.88952364267034e-224
"120";"2021-06-02 20:15:00";0
"121";"2021-06-02 20:30:00";0
"122";"2021-06-02 20:45:00";0
"123";"2021-06-02 21:00:00";0
"124";"2021-06-02 21:15:00";0
"125";"2021-06-02 21:30:00";0
"126";"2021-06-02 21:45:00";0
"127";"2021-06-02 22:00:00";-2.12646991091606e-220
"128";"2021-06-02 22:15:00";0
"129";"2021-06-02 22:30:00";0
"130";"2021-06-02 22:45:00";0
"131";"2021-06-02 23:00:00";0
"132";"2021-06-02 23:15:00";0
"133";"2021-06-02 23:30:00";0
"134";"2021-06-02 23:45:00";0
"135";"2021-06-03 00:00:00";2.39312921884969e-216
"136";"2021-06-03 00:15:00";0
"137";"2021-06-03 00:30:00";0
"138";"2021-06-03 00:45:00";0
"139";"2021-06-03 01:00:00";0
"140";"2021-06-03 01:15:00";0
"141";"2021-06-03 01:30:00";0
"142";"2021-06-03 01:45:00";0
"143";"2021-06-03 02:00:00";0
"144";"2021-06-03 02:15:00";1.00512622742406e-211
"145";"2021-06-03 02:30:00";0
"146";"2021-06-03 02:45:00";0
"147";"2021-06-03 03:00:00";0
"148";"2021-06-03 03:15:00";0
"149";"2021-06-03 03:30:00";0
"150";"2021-06-03 03:45:00";0
"151";"2021-06-03 04:00:00";0
"152";"2021-06-03 04:15:00";-1.13116905818084e-207
"153";"2021-06-03 04:30:00";0
"154";"2021-06-03 04:45:00";0
"155";"2021-06-03 05:00:00";0
"156";"2021-06-03 05:15:00";0
"157";"2021-06-03 05:30:00";0
"158";"2021-06-03 05:45:00";0
"159";"2021-06-03 06:00:00";0
"160";"2021-06-03 06:15:00";0
"161";"2021-06-03 06:30:00";-4.75096655488855e-203
