"date";"T3B1";"T3B3";"T3B4";"T3B2";"T2C1";"T2C2";"T2C3";"T2C4";"T1C2";"T1C3";"T1C4";"T1C5";"T1B2";"T1B3";"T1B4";"T1B5";"T3A2";"T3A3";"T3A5";"T1A1";"T1A2";"T1A3";"T1A4";"T2B1";"T2B2";"T2B3";"T2B4";"T2A4";"T2A1";"T2A2";"T2A3";"T3C1";"T3C3";"T3C4";"T3C5"
"13";"2021-06-01 17:30:00";2113.636963;1886.364014;1468.182007;7325.757813;6636.36377;424.242004;8348.486328;60.605999;83.333;3007.575928;5765.151855;12083.33301;2234.849121;5719.698242;2689.394043;30.302999;0;1754.545044;0;2848.485107;3590.908936;2166.666992;17492.42383;0;0;12472.72656;0;4803.030762;1075.758057;439.394012;3022.727051;25000;2871.211914;11257.5752;9053.030273
"14";"2021-06-01 17:45:00";2113.636963;1886.364014;1468.182007;7325.757813;6636.36377;439.394012;8348.486328;60.605999;90.908997;3015.150879;5757.576172;12083.33301;2257.575928;5719.698242;2696.969971;30.302999;0;1727.272949;0;2848.485107;3598.485107;2174.24292;17484.84766;0;0;5468.182129;0;4795.455078;1075.758057;439.394012;3022.727051;25000;2871.211914;11257.5752;9060.606445
"15";"2021-06-01 18:00:00";2113.636963;1886.364014;1468.182007;7325.757813;6636.36377;462.121002;8356.060547;60.605999;83.333;3037.878906;5787.878906;12113.63672;2265.1521;5719.698242;2712.121094;30.302999;0;1704.546021;0;2848.485107;3598.485107;2174.24292;17477.27148;0;0;3859.091064;0;4803.030762;1075.758057;439.394012;3015.150879;25000;2863.636963;11257.5752;9068.181641
"16";"2021-06-01 18:15:00";2113.636963;1895.454956;1477.272949;7348.484863;6636.36377;469.696991;8348.486328;60.605999;83.333;3083.333008;5848.484863;12159.09082;2280.302979;5719.698242;2719.697021;30.302999;0;1640.909058;0;2840.908936;3606.061035;2181.818115;17469.69727;0;0;0;0;4803.030762;1068.182007;439.394012;3015.150879;25000;2878.788086;11295.4541;9113.636719
"17";"2021-06-01 18:30:00";2114.74213830663;1904.35441603574;1492.22893508405;7364.94752086223;6634.69861696561;463.799056442929;8337.03257015274;60.6059989999999;78.4944896857979;3100.91918598046;5870.13918552302;12171.4975629734;2291.83273544492;5719.69824391645;2724.93222386231;30.3030547536255;2.06821320299496e-256;1616.14618739585;1.69427586482357e-276;2842.67383700639;3613.37027024906;2201.07084967471;17478.0034076534;79.4564271780166;-249.21685408553;135.736555883722;-0.0111174978401936;4794.6679146091;1058.84947735279;439.834556525187;3015.6022301138;24998.0740866498;2900.16178579799;11321.4352529916;9135.41591761229
"18";"2021-06-01 18:45:00";2113.636963;1918.182007;1509.090942;7393.938965;6636.36377;477.27301;8348.486328;60.605999;75.758003;3113.636963;5886.36377;12181.81836;2295.455078;5719.698242;2727.272949;30.302999;0;1622.727051;0;2863.636963;3628.788086;2227.272949;17484.84766;0;0;2540.908936;0;4795.455078;1075.758057;439.394012;3015.150879;24992.42383;2931.818115;11340.90918;9143.939453
"19";"2021-06-01 19:00:00";2113.636963;1940.909058;1527.272949;7446.970215;6643.939941;530.302979;8393.939453;60.605999;83.333;3143.939941;5931.817871;12219.69727;2295.455078;5719.698242;2727.272949;30.302999;0;1618.182007;0;2909.091064;3659.091064;2265.1521;17477.27148;0;0;5704.545898;0;4818.182129;1128.787964;439.394012;3015.150879;24984.84766;2977.272949;11378.78809;9166.666992
"20";"2021-06-01 19:15:00";2131.818115;1959.090942;1550;7469.698242;6651.516113;575.757996;8431.818359;60.605999;83.333;3151.514893;5954.545898;12242.42481;2303.030029;5719.698242;2734.849121;30.302999;0;1586.364014;0;2962.121094;3681.818115;2325.758057;17484.84766;0;0;12509.09082;0;4848.484863;1159.090942;446.970001;3015.150879;24984.84766;3007.575928;11431.81836;9189.394531
"21";"2021-06-01 19:30:00";2136.364014;1977.272949;1563.635986;7492.424805;6674.243164;590.908997;8462.121094;60.605999;75.758003;3174.24292;5977.272949;12257.57617;2310.605957;5719.698242;2734.849121;30.302999;0;1581.817993;0;2969.697021;3689.394043;2340.908936;17484.84766;0;12509.09082;0;0;4871.211914;1174.241943;454.545013;3015.150879;24984.84766;3022.727051;11446.96973;9196.969727
"22";"2021-06-01 19:45:00";2136.364014;1981.817993;1572.727051;7507.576172;6696.970215;613.635986;8492.424805;60.605999;83.333;3174.24292;5984.848145;12257.57617;2310.605957;5719.698242;2734.849121;30.302999;0;1550;0;2984.849121;3696.969971;2356.061035;17477.27148;0;5668.182129;0;0;4886.36377;1196.969971;469.696991;3015.150879;24984.84766;3037.878906;11454.5459;9204.545898
"23";"2021-06-01 20:00:00";2145.455078;1990.909058;1586.364014;7507.576172;6704.545898;628.788025;8507.576172;60.605999;75.758003;3196.969971;6000;12280.30371;2325.758057;5719.698242;2742.424072;30.302999;0;1550;0;2984.849121;3696.969971;2356.061035;17484.84766;0;1622.727051;0;0;4901.515137;1212.120972;469.696991;3015.150879;24984.84766;3030.302979;11462.12109;9204.545898
"24";"2021-06-01 20:15:00";2145.455078;2000;1586.364014;7515.151855;6712.12207;636.364014;8515.151367;60.605999;75.758003;3204.545898;6015.151855;12295.45508;2340.908936;5719.698242;2757.575928;30.302999;0;1536.364014;0;2984.849121;3704.544922;2356.061035;17492.42383;0;0;0;0;4901.515137;1219.697021;477.27301;3015.150879;24977.27344;3037.878906;11477.27344;9212.121094
