"Time";"T2"
2018-03-19 13:30:00;16310.6055662
2018-03-19 13:45:00;16309.0901366
2018-03-19 14:00:00;16309.0901366
2018-03-19 14:15:00;16309.0901366
2018-03-19 14:30:00;16309.0901366
2018-03-19 14:45:00;16309.0901366
2018-03-19 15:00:00;16309.0901366
2018-03-19 15:15:00;16307.574707
2018-03-19 15:30:00;16307.574707
2018-03-19 15:45:00;16307.574707
2018-03-19 16:00:00;16307.574707
2018-03-19 16:15:00;16309.0901366
2018-03-19 16:30:00;16310.6055662
2018-03-19 16:45:00;16315.151074
2018-03-19 17:00:00;16316.6665036
2018-03-19 17:15:00;16318.1819332
2018-03-19 17:30:00;16322.7272458
2018-03-19 17:45:00;16328.7877928
2018-03-19 18:00:00;16330.3030272
2018-03-19 18:15:00;16336.3635742
2018-03-19 18:30:00;16343.9391602
2018-03-19 18:45:00;16348.484668
2018-03-19 19:00:00;16353.0301758
2018-03-19 19:15:00;16359.090918
2018-03-19 19:30:00;16365.1512696
2018-03-19 20:00:00;16369.6965822
2018-03-19 20:15:00;16372.7266604
2018-03-19 20:30:00;16374.2415042
2018-03-19 20:45:00;16375.756348
2018-03-19 21:00:00;16375.756348
2018-03-19 21:15:00;16377.2715822
2018-03-19 21:30:00;16377.2715822
2018-03-19 21:45:00;16377.2715822
2018-03-19 22:00:00;16378.7868164
2018-03-19 22:15:00;16378.7868164
2018-03-19 22:30:00;16377.2715822
2018-03-19 22:45:00;16377.2715822
2018-03-19 23:00:00;16378.7868164
2018-03-19 23:15:00;16378.7868164
2018-03-19 23:30:00;16380.3020506
2018-03-19 23:45:00;16381.8172848
2018-03-20 00:00:00;16384.8477534
2018-03-20 00:15:00;16384.8477534
2018-03-20 00:30:00;16386.3629878
2018-03-20 00:45:00;16386.3629878
2018-03-20 01:00:00;16386.3629878
2018-03-20 01:15:00;16386.3629878
2018-03-20 01:30:00;16386.3629878
2018-03-20 01:45:00;16384.8477534
2018-03-20 02:00:00;16387.878027
2018-03-20 02:15:00;16387.878027
2018-03-20 02:30:00;16386.3627926
2018-03-20 02:45:00;16386.3627926
2018-03-20 03:00:00;16387.878027
2018-03-20 03:15:00;16384.8477534
2018-03-20 03:30:00;16384.8477534
2018-03-20 03:45:00;16384.8477534
2018-03-20 04:00:00;16384.8477534
2018-03-20 04:15:00;16384.8477534
2018-03-20 04:30:00;16386.3629878
2018-03-20 04:45:00;16389.3932614
2018-03-20 07:00:00;16390.9084958
2018-03-20 07:15:00;16393.9387694
2018-03-20 07:30:00;16395.4538086
2018-03-20 07:45:00;16395.4538086
2018-03-20 08:00:00;16392.423535
2018-03-20 08:15:00;16389.3930664
2018-03-20 08:30:00;16383.3327148
2018-03-20 08:45:00;16377.2723632
2018-03-20 09:00:00;16374.2418946
2018-03-20 09:15:00;16371.2118166
2018-03-20 09:30:00;16369.6969728
2018-03-20 09:45:00;16369.6969728
2018-03-20 10:00:00;16368.1817384
2018-03-20 10:15:00;16365.1516602
2018-03-20 10:30:00;16362.1211914
2018-03-20 10:45:00;16357.5756836
2018-03-20 11:00:00;16351.5149414
2018-03-20 11:15:00;16348.484668
2018-03-20 11:30:00;16345.4543946
2018-03-20 11:45:00;16339.3936524
2018-03-20 12:00:00;16334.8479492
2018-03-20 12:15:00;16331.8174804
2018-03-20 12:30:00;16325.7569334
2018-03-20 12:45:00;16319.6963864
2018-03-20 13:00:00;16316.666113
2018-03-20 13:15:00;16313.6358396
2018-03-20 13:30:00;16310.6055662
2018-03-20 13:45:00;16309.0901366
2018-03-20 14:00:00;16307.574707
2018-03-20 14:15:00;16307.574707
2018-03-20 14:30:00;16307.574707
2018-03-20 14:45:00;16307.574707
