"Time";"T2"
2018-03-23 12:45:00;16309.0901366
2018-03-23 13:00:00;16307.574707
2018-03-23 13:15:00;16303.0293944
2018-03-23 13:30:00;16299.9993162
2018-03-23 13:45:00;16295.4540036
2018-03-23 14:00:00;16290.908691
2018-03-23 14:15:00;16284.8481442
2018-03-23 14:30:00;16283.33291
2018-03-23 14:45:00;16280.3024414
2018-03-23 15:00:00;16278.7872072
2018-03-23 15:15:00;16278.7872072
2018-03-23 15:30:00;16278.7872072
2018-03-23 15:45:00;16283.3329102
2018-03-23 16:00:00;16287.8786132
2018-03-23 16:15:00;16295.4545896
2018-03-23 16:30:00;16303.0301756
2018-03-23 16:45:00;16316.666699
2018-03-23 17:00:00;16324.242285
2018-03-23 17:15:00;16333.3331054
2018-03-23 17:30:00;16340.9086914
2018-03-23 17:45:00;16346.9694336
2018-03-23 18:00:00;16349.999707
2018-03-23 18:15:00;16354.5452148
2018-03-23 18:30:00;16359.0907226
2018-03-23 18:45:00;16363.6360352
2018-03-23 19:00:00;16368.1813478
2018-03-23 19:15:00;16371.211426
2018-03-23 19:30:00;16375.7567384
2018-03-23 19:45:00;16378.7868164
2018-03-23 20:00:00;16381.817285
2018-03-23 20:15:00;16386.3627928
2018-03-23 20:30:00;16390.9083006
2018-03-23 20:45:00;16392.423535
2018-03-23 21:00:00;16393.9387694
2018-03-23 21:15:00;16392.423535
2018-03-23 21:30:00;16392.423535
2018-03-23 21:45:00;16393.9387694
2018-03-23 22:00:00;16396.969043
2018-03-23 22:15:00;16399.9993166
2018-03-23 22:30:00;16404.5448246
2018-03-23 22:45:00;16404.5448246
2018-03-23 23:15:00;16406.0600588
2018-03-23 23:30:00;16406.0600588
2018-03-23 23:45:00;16406.0600588
2018-03-24 00:00:00;16406.0600588
2018-03-24 00:15:00;16409.0905274
2018-03-24 00:30:00;16407.5752932
2018-03-24 00:45:00;16407.5752932
2018-03-24 01:00:00;16407.5752932
2018-03-24 01:15:00;16407.5752932
2018-03-24 01:30:00;16406.060059
2018-03-24 01:45:00;16409.0905276
2018-03-24 02:00:00;16409.0905276
2018-03-24 02:15:00;16410.6057618
2018-03-24 02:30:00;16410.6057618
2018-03-24 02:45:00;16410.6057618
2018-03-24 03:00:00;16406.0600588
2018-03-24 03:15:00;16406.0600588
2018-03-24 03:30:00;16404.5448246
2018-03-24 03:45:00;16404.5448246
2018-03-24 04:00:00;16404.5448246
2018-03-24 05:15:00;16407.5752932
2018-03-24 05:30:00;16407.5752932
2018-03-24 06:15:00;16407.5752932
2018-03-24 06:30:00;16409.0905274
2018-03-24 06:45:00;16409.0905274
2018-03-24 07:00:00;16409.0905274
2018-03-24 07:15:00;16410.6057616
2018-03-24 07:30:00;16412.1209958
2018-03-24 07:45:00;16412.1209958
2018-03-24 08:00:00;16413.63623
2018-03-24 08:15:00;16410.6057614
2018-03-24 08:30:00;16409.0905272
2018-03-24 08:45:00;16406.0600586
2018-03-24 09:00:00;16404.5448244
2018-03-24 09:15:00;16403.0295902
