"Time";"T2"
2017-07-23 00:00:00;17085.8574213333
2017-07-23 00:15:00;17087.3726557333
2017-07-23 00:30:00;17088.8878901333
2017-07-23 00:45:00;17087.3726557333
2017-07-23 01:00:00;17088.8878901333
2017-07-23 01:15:00;17091.9183589333
2017-07-23 01:30:00;17091.9183589333
2017-07-23 01:45:00;17093.4335933333
2017-07-23 02:00:00;17096.4640621333
2017-07-23 02:15:00;17099.4945309333
2017-07-23 02:45:00;17102.5249997333
2017-07-23 03:00:00;17105.5554685333
2017-07-23 03:15:00;17107.0707029333
2017-07-23 03:30:00;17108.5859373333
2017-07-23 03:45:00;17110.1007811333
2017-07-23 04:00:00;17111.6156249333
2017-07-23 04:15:00;17111.6156249333
2017-07-23 04:30:00;17111.6156249333
2017-07-23 04:45:00;17113.1304687333
2017-07-23 05:00:00;17113.1304687333
2017-07-23 05:15:00;17113.1304687333
2017-07-23 05:30:00;17114.6453125333
2017-07-23 05:45:00;17116.1601563333
2017-07-23 06:00:00;17114.6453125333
2017-07-23 06:15:00;17114.6453125333
2017-07-23 06:30:00;17114.6453125333
2017-07-23 06:45:00;17114.6453125333
2017-07-23 07:00:00;17114.6453125333
2017-07-23 07:15:00;17116.1601563333
2017-07-23 07:30:00;17116.1601563333
2017-07-23 07:45:00;17116.1601563333
2017-07-23 08:00:00;17116.1601563333
2017-07-23 08:15:00;17116.1601563333
2017-07-23 08:30:00;17117.6753905333
2017-07-23 08:45:00;17117.6753905333
2017-07-23 09:00:00;17119.1906247333
2017-07-23 09:15:00;17122.2214839333
2017-07-23 09:30:00;17123.7367181333
2017-07-23 09:45:00;17123.7367181333
2017-07-23 10:00:00;17123.7367181333
2017-07-23 10:15:00;17122.2214839333
2017-07-23 10:30:00;17117.6757809333
2017-07-23 10:45:00;17114.6457029333
2017-07-23 11:00:00;17111.6156249333
2017-07-23 11:15:00;17107.0703123333
2017-07-23 11:30:00;17102.5249997333
2017-07-23 11:45:00;17099.4945309333
2017-07-23 12:00:00;17096.4640621333
2017-07-23 12:15:00;17091.9183589333
2017-07-23 12:30:00;17088.8878901333
2017-07-23 12:45:00;17085.8574213333
2017-07-23 13:00:00;17084.3421869333
2017-07-23 13:15:00;17082.8269525333
2017-07-23 13:30:00;17084.3421869333
2017-07-23 13:45:00;17087.3726557333
2017-07-23 14:00:00;17088.8878901333
2017-07-23 14:15:00;17087.3726557333
2017-07-23 14:30:00;17085.8574213333
2017-07-23 14:45:00;17084.3421869333
2017-07-23 15:00:00;17084.3421869333
2017-07-23 15:15:00;17087.3726557333
2017-07-23 15:30:00;17091.9183589333
2017-07-23 15:45:00;17097.9792965333
2017-07-23 16:00:00;17102.5249997333
2017-07-23 16:15:00;17105.5554685333
2017-07-23 16:30:00;17107.0707029333
2017-07-23 16:45:00;17108.5859373333
2017-07-23 17:00:00;17110.1007811333
2017-07-23 17:15:00;17111.6156249333
2017-07-23 17:30:00;17111.6156249333
2017-07-23 17:45:00;17113.1304687333
2017-07-23 18:00:00;17113.1304687333
2017-07-23 18:15:00;17111.6156249333
2017-07-23 18:30:00;17110.1007811333
2017-07-23 18:45:00;17110.1007811333
2017-07-23 19:00:00;17110.1007811333
2017-07-23 19:15:00;17110.1007811333
2017-07-23 19:30:00;17110.1007811333
2017-07-23 19:45:00;17110.1007811333
2017-07-23 20:00:00;17111.6156249333
2017-07-23 20:15:00;17111.6156249333
2017-07-23 20:30:00;17113.1304687333
2017-07-23 20:45:00;17114.6453125333
2017-07-23 21:00:00;17116.1601563333
2017-07-23 21:15:00;17116.1601563333
2017-07-23 21:30:00;17114.6453125333
2017-07-23 21:45:00;17114.6453125333
2017-07-23 22:00:00;17114.6453125333
2017-07-23 22:15:00;17114.6453125333
2017-07-23 22:30:00;17116.1605467333
2017-07-23 22:45:00;17119.1906247333
2017-07-23 23:00:00;17120.7058589333
2017-07-23 23:15:00;17120.7058589333
2017-07-23 23:30:00;17120.7058589333
2017-07-23 23:45:00;17120.7058589333
2017-07-24 00:00:00;17122.2214839333
2017-07-24 00:15:00;17123.7371089333
2017-07-24 00:30:00;17126.7679681333
2017-07-24 00:45:00;17129.7988273333
2017-07-24 01:00:00;17132.8296867333
2017-07-24 01:15:00;17132.8296867333
2017-07-24 01:30:00;17132.8296867333
2017-07-24 01:45:00;17132.8296867333
2017-07-24 02:00:00;17132.8296867333
2017-07-24 02:15:00;17132.8296867333
2017-07-24 02:30:00;17134.3449211333
2017-07-24 02:45:00;17135.8601555333
2017-07-24 03:00:00;17137.3753899333
2017-07-24 03:15:00;17138.8906243333
2017-07-24 03:30:00;17137.3753899333
2017-07-24 03:45:00;17137.3753899333
2017-07-24 04:00:00;17137.3753899333
2017-07-24 04:15:00;17137.3753899333
2017-07-24 04:30:00;17137.3753899333
2017-07-24 04:45:00;17138.8906243333
