"datetime","value"
2017-01-03 06:15:00,6125.758008
2017-01-03 06:30:00,6127.273047
2017-01-03 07:00:00,6127.273047
2017-01-03 07:15:00,6128.788086
2017-01-03 07:30:00,6127.273047
2017-01-03 07:45:00,6125.758008
2017-01-03 08:00:00,6124.242969
2017-01-03 08:15:00,6122.72793
2017-01-03 08:30:00,6119.6977542
2017-01-03 08:45:00,6119.6977542
2017-01-03 09:00:00,6119.6977542
2017-01-03 09:15:00,6119.6977542
2017-01-03 09:30:00,6116.667383
2017-01-03 09:45:00,6113.6369142
2017-01-03 10:00:00,6109.0913086
2017-01-03 10:30:00,6100.000293
2017-01-03 10:45:00,6089.3941406
2017-01-03 11:00:00,6080.3033204
2017-01-03 11:15:00,6071.2125002
2017-01-03 11:30:00,6060.6065432
2017-01-03 11:45:00,6053.0307618
2017-01-03 12:00:00,6045.4549806
2017-01-03 12:15:00,6036.3639648
2017-01-03 12:30:00,6027.2730468
2017-01-03 12:45:00,6018.1820312
2017-01-03 13:00:00,6009.091211
2017-01-03 13:15:00,5998.4851562
2017-01-03 13:30:00,5990.909375
2017-01-03 14:00:00,5983.333496
2017-01-03 14:15:00,5978.7880858
2017-01-03 14:30:00,5978.7880858
2017-01-03 14:45:00,5983.333496
2017-01-03 15:00:00,5987.8789062
2017-01-03 15:15:00,5993.9395508
2017-01-03 15:30:00,5998.484961
2017-01-03 15:45:00,6006.0606446
2017-01-03 16:00:00,6016.666797
2017-01-03 16:30:00,6030.3032228
2017-01-03 16:45:00,6045.4547854
2017-01-03 17:15:00,6065.151758
2017-01-03 17:30:00,6080.3033204
2017-01-03 17:45:00,6095.4547852
2017-01-03 18:00:00,6107.5759766
2017-01-03 18:15:00,6121.2124022
2017-01-03 18:30:00,6130.3034178
2017-01-03 18:45:00,6139.3942382
2017-01-03 19:00:00,6145.454785
2017-01-03 19:15:00,6153.0305662
2017-01-03 19:30:00,6159.0912108
2017-01-03 19:45:00,6166.6669922
2017-01-03 20:00:00,6174.2427734
2017-01-03 20:15:00,6180.303418
2017-01-03 20:45:00,6184.8488282
2017-01-03 21:00:00,6189.3942384
2017-01-03 21:15:00,6192.4245118
2017-01-03 21:45:00,6195.4548828
2017-01-03 22:00:00,6196.9701172
2017-01-03 22:15:00,6200.0004882
2017-01-03 22:30:00,6203.030664
2017-01-03 22:45:00,6206.0608398
