date;T1A1;T1A2;T1A3;T1A4
2021-06-15 16:14:26;3015.150879;3742.424072;2106.061035;17454.54492
2021-06-15 16:30:29;3007.575928;3734.849121;2075.758057;17446.96875
2021-06-15 16:46:33;3000;3734.849121;2045.454956;17439.39453
2021-06-15 17:02:36;2992.424072;3734.849121;2037.879028;17446.96875
2021-06-15 17:18:40;2992.424072;3734.849121;2037.879028;17446.96875
2021-06-15 17:50:47;2992.424072;3734.849121;2037.879028;17431.81836
2021-06-15 18:55:04;3075.758057;3818.181885;2106.061035;17431.81836
2021-06-15 19:11:08;3121.211914;3863.636963;2159.091064;17446.96875
2021-06-15 19:27:12;3151.514893;3893.939941;2196.969971;17446.96875
2021-06-15 19:43:18;3189.394043;3909.091064;2227.272949;17446.96875
2021-06-15 19:59:23;3212.121094;3924.24292;2257.575928;17454.54492
2021-06-15 20:15:27;3234.849121;3946.969971;2287.878906;17469.69727
2021-06-15 20:31:31;3265.150879;3962.121094;2310.605957;17469.69727
2021-06-15 20:47:39;3280.302979;3977.272949;2348.485107;17477.27148
2021-06-15 21:03:44;3295.454102;3984.849121;2378.788086;17477.27148
2021-06-15 21:19:49;3303.030029;3992.424072;2386.364014;17469.69727
2021-06-15 21:35:53;3303.030029;3992.424072;2393.939941;17477.27148
2021-06-15 21:52:02;3303.030029;3992.424072;2393.939941;17477.27148
2021-06-15 22:08:08;3303.030029;3992.424072;2401.514893;17477.27148
2021-06-15 22:24:12;3303.030029;3992.424072;2401.514893;17484.84766
2021-06-15 22:40:18;3303.030029;3992.424072;2401.514893;17492.42383
2021-06-15 22:56:26;3310.605957;3984.849121;2409.091064;17492.42383
2021-06-15 23:12:31;3318.181885;3992.424072;2416.666992;17507.57617
2021-06-15 23:28:37;3318.181885;4000;2416.666992;17507.57617
2021-06-15 23:44:42;3333.333984;4007.575928;2424.24292;17515.15039
2021-06-16 00:00:51;3333.333984;4000;2446.969971;17515.15039
2021-06-16 00:16:58;3340.908936;4015.150879;2446.969971;17515.15039
2021-06-16 00:33:04;3348.485107;4015.150879;2454.545898;17522.72656
2021-06-16 00:49:10;3356.061035;4015.150879;2462.121094;17522.72656
2021-06-16 01:05:18;3356.061035;4022.727051;2469.697021;17530.30273
2021-06-16 01:21:25;3356.061035;4015.150879;2469.697021;17530.30273
2021-06-16 01:53:37;3363.636963;4022.727051;2477.272949;17530.30273
2021-06-16 02:09:45;3363.636963;4022.727051;2477.272949;17537.87891
2021-06-16 02:25:52;3363.636963;4022.727051;2477.272949;17537.87891
2021-06-16 02:41:58;3363.636963;4022.727051;2477.272949;17537.87891
2021-06-16 02:58:06;3371.211914;4022.727051;2477.272949;17545.45508
2021-06-16 03:14:13;3371.211914;4022.727051;2477.272949;17545.45508
2021-06-16 03:30:20;3371.211914;4022.727051;2477.272949;17545.45508
2021-06-16 04:02:34;3371.211914;4022.727051;2477.272949;17553.0293
2021-06-16 04:18:41;3378.788086;4022.727051;2477.272949;17553.0293
2021-06-16 04:34:49;3378.788086;4022.727051;2477.272949;17553.0293
2021-06-16 05:23:13;3371.211914;4022.727051;2477.272949;17560.60547
2021-06-16 05:39:20;3371.211914;4022.727051;2477.272949;17568.18164
2021-06-16 05:55:28;3371.211914;4022.727051;2477.272949;17568.18164
2021-06-16 06:11:35;3371.211914;4022.727051;2477.272949;17575.75781
2021-06-16 06:43:51;3378.788086;4022.727051;2477.272949;17575.75781
2021-06-16 06:59:59;3378.788086;4022.727051;2477.272949;17583.33203
2021-06-16 07:16:06;3371.211914;4030.302979;2477.272949;17590.9082
2021-06-16 07:48:18;3378.788086;4030.302979;2484.849121;17628.78711
2021-06-16 08:04:24;3356.061035;4015.150879;2484.849121;17636.36328
2021-06-16 08:36:36;3310.605957;3992.424072;2439.394043;17651.51563
2021-06-16 08:52:40;3295.454102;3969.697021;2424.24292;17636.36328
2021-06-16 09:08:44;3287.878906;3962.121094;2416.666992;17613.63672
2021-06-16 09:24:49;3265.150879;3962.121094;2401.514893;17583.33203
2021-06-16 09:40:57;3257.575928;3954.545898;2401.514893;17575.75781
2021-06-16 09:57:01;3257.575928;3954.545898;2401.514893;17553.0293
2021-06-16 10:13:05;3257.575928;3954.545898;2401.514893;17545.45508
2021-06-16 10:29:10;3265.150879;3954.545898;2393.939941;17537.87891
2021-06-16 10:45:18;3257.575928;3946.969971;2393.939941;17530.30273
2021-06-16 11:01:22;3257.575928;3954.545898;2401.514893;17522.72656
2021-06-16 11:17:27;3257.575928;3954.545898;2393.939941;17515.15039
2021-06-16 11:33:30;3257.575928;3939.394043;2393.939941;17515.15039
2021-06-16 11:49:36;3250;3931.818115;2393.939941;17507.57617
2021-06-16 12:05:39;3242.424072;3924.24292;2386.364014;17500
2021-06-16 12:37:48;3212.121094;3901.514893;2333.333008;17492.42383
2021-06-16 12:53:53;3204.545898;3893.939941;2310.605957;17492.42383
