"datetime","value"
2017-01-01 09:15:00,10493.9392578
2017-01-01 09:30:00,10489.39375
2017-01-01 09:45:00,10483.3330078
2017-01-01 10:00:00,10474.2421874
2017-01-01 10:15:00,10463.6361328
2017-01-01 10:30:00,10450
2017-01-01 10:45:00,10434.8486328
2017-01-01 11:00:00,10421.2125
2017-01-01 11:15:00,10410.6064454
2017-01-01 11:30:00,10403.0308594
2017-01-01 11:45:00,10395.4548828
2017-01-01 12:00:00,10386.3640624
2017-01-01 12:15:00,10375.7578124
2017-01-01 12:30:00,10363.6367186
2017-01-01 12:45:00,10350.0003904
2017-01-01 13:00:00,10343.9400388
2017-01-01 13:15:00,10339.394531
2017-01-01 13:30:00,10334.8492186
2017-01-01 13:45:00,10334.8492186
2017-01-01 14:00:00,10337.8792968
2017-01-01 14:15:00,10337.8792968
2017-01-01 14:30:00,10339.3945312
2017-01-01 14:45:00,10342.4249998
2017-01-01 15:00:00,10345.4552732
2017-01-01 15:15:00,10348.4855466
2017-01-01 15:30:00,10354.5458982
2017-01-01 15:45:00,10363.6367186
2017-01-01 16:00:00,10374.2427734
2017-01-01 16:15:00,10387.8789064
2017-01-01 16:30:00,10403.030469
2017-01-01 16:45:00,10418.1820316
2017-01-01 17:00:00,10436.3636722
2017-01-01 17:15:00,10456.0603518
2017-01-01 17:30:00,10472.7271486
2017-01-01 18:00:00,10487.8789064
2017-01-01 18:15:00,10504.5457032
2017-01-01 18:30:00,10518.1820314
2017-01-01 18:45:00,10528.7880862
2017-01-01 19:00:00,10539.3941408
2017-01-01 19:15:00,10548.484961
2017-01-01 19:30:00,10554.5455078
2017-01-01 19:45:00,10557.5759764
2017-01-01 20:00:00,10562.1218748
2017-01-01 20:15:00,10562.1218748
2017-01-01 20:30:00,10563.6373046
2017-01-01 20:45:00,10563.6373046
2017-01-01 21:00:00,10563.6373046
2017-01-01 21:15:00,10563.6373046
2017-01-01 21:30:00,10565.1527344
2017-01-01 21:45:00,10565.1527344
2017-01-01 22:00:00,10569.6982422
2017-01-01 22:15:00,10572.7285158
2017-01-01 22:30:00,10575.7585938
2017-01-01 22:45:00,10580.3039062
2017-01-01 23:00:00,10584.8492186
2017-01-01 23:15:00,10584.8492186
2017-01-01 23:30:00,10586.3644528
2017-01-01 23:45:00,10587.8796872
2017-01-02 00:00:00,10587.8796872
2017-01-02 00:15:00,10587.8796872
2017-01-02 00:30:00,10590.910156
2017-01-02 00:45:00,10592.4253904
2017-01-02 01:00:00,10593.9406248
2017-01-02 01:15:00,10593.9406248
2017-01-02 01:30:00,10595.4558592
2017-01-02 01:45:00,10595.4558592
2017-01-02 02:00:00,10596.9710936
2017-01-02 02:15:00,10596.9710936
2017-01-02 02:30:00,10598.486328
2017-01-02 02:45:00,10598.486328
2017-01-02 03:00:00,10600.001367
2017-01-02 03:15:00,10603.0316404
2017-01-02 03:30:00,10606.0619138
2017-01-02 03:45:00,10607.5769528
2017-01-02 04:00:00,10609.0919918
