"datetime","value"
2017-01-01 04:00:00,10068.181641
2017-01-01 04:15:00,10068.181641
2017-01-01 04:30:00,10068.181641
2017-01-01 05:00:00,10068.181641
2017-01-01 05:15:00,10071.2121096
2017-01-01 05:30:00,10074.2425782
2017-01-01 05:45:00,10077.2730468
2017-01-01 06:00:00,10080.3035154
2017-01-01 06:15:00,10083.333984
2017-01-01 06:45:00,10083.333984
2017-01-01 07:00:00,10083.333984
2017-01-01 07:15:00,10083.333984
2017-01-01 07:45:00,10083.333984
2017-01-01 08:00:00,10083.333984
2017-01-01 08:15:00,10083.333984
2017-01-01 08:30:00,10083.333984
2017-01-01 08:45:00,10083.333984
2017-01-01 09:00:00,10080.3035154
2017-01-01 09:15:00,10077.2730468
2017-01-01 09:30:00,10074.2425782
2017-01-01 09:45:00,10071.2121096
2017-01-01 10:00:00,10066.6666018
2017-01-01 10:15:00,10062.1214846
2017-01-01 10:45:00,10053.0306642
2017-01-01 11:00:00,10043.9398438
2017-01-01 11:15:00,10034.8490234
2017-01-01 11:30:00,10027.2732422
2017-01-01 11:45:00,10022.727539
2017-01-01 12:00:00,10019.6972656
2017-01-01 12:15:00,10012.1216796
2017-01-01 12:30:00,10004.5460936
2017-01-01 12:45:00,9996.9705076
2017-01-01 13:00:00,9989.3949216
2017-01-01 13:30:00,9984.849609
2017-01-01 13:45:00,9981.8193356
2017-01-01 14:00:00,9981.8193356
2017-01-01 14:15:00,9981.8193356
2017-01-01 14:30:00,9981.8193356
2017-01-01 14:45:00,9981.8193356
2017-01-01 15:00:00,9984.849609
2017-01-01 15:15:00,9987.8796872
2017-01-01 15:30:00,9990.9097654
2017-01-01 15:45:00,9995.455078
2017-01-01 16:15:00,10000.0003906
2017-01-01 16:30:00,10007.5759766
2017-01-01 16:45:00,10009.091211
2017-01-01 17:00:00,10013.6367188
2017-01-01 17:15:00,10021.2126954
2017-01-01 17:30:00,10028.788672
2017-01-01 17:45:00,10036.3644532
2017-01-01 18:00:00,10046.9705078
2017-01-01 18:15:00,10054.546289
2017-01-01 18:30:00,10059.0914062
2017-01-01 19:00:00,10063.6365234
2017-01-01 19:15:00,10065.1515626
2017-01-01 19:30:00,10066.6666018
2017-01-01 19:45:00,10068.181641
2017-01-01 20:00:00,10068.181641
2017-01-01 20:15:00,10068.181641
2017-01-01 20:30:00,10068.181641
2017-01-01 20:45:00,10068.181641
2017-01-01 21:00:00,10068.181641
2017-01-01 21:15:00,10071.2121096
2017-01-01 21:45:00,10075.7578126
2017-01-01 22:00:00,10083.333789
2017-01-01 22:15:00,10090.9097654
2017-01-01 22:30:00,10098.4857418
2017-01-01 22:45:00,10103.0312496
2017-01-01 23:00:00,10106.061523
2017-01-01 23:15:00,10106.061523
2017-01-01 23:30:00,10109.0916012
2017-01-01 23:45:00,10112.1216794
2017-01-02 00:00:00,10115.1517576
2017-01-02 00:30:00,10118.1818358
2017-01-02 00:45:00,10121.211914
2017-01-02 01:00:00,10121.211914
2017-01-02 01:15:00,10121.211914
2017-01-02 01:30:00,10121.211914
2017-01-02 01:45:00,10121.211914
2017-01-02 02:00:00,10121.211914
2017-01-02 02:15:00,10121.211914
2017-01-02 02:30:00,10121.211914
2017-01-02 03:00:00,10122.7271484
2017-01-02 03:15:00,10124.2423828
2017-01-02 03:30:00,10125.7576172
2017-01-02 03:45:00,10127.2728516
2017-01-02 04:00:00,10128.788086
2017-01-02 04:15:00,10128.788086
2017-01-02 04:30:00,10128.788086
2017-01-02 04:45:00,10128.788086
2017-01-02 05:15:00,10128.788086
2017-01-02 05:45:00,10128.788086
2017-01-02 06:00:00,10128.788086
2017-01-02 06:15:00,10128.788086
2017-01-02 06:30:00,10128.788086
2017-01-02 06:45:00,10128.788086
2017-01-02 07:00:00,10128.788086
2017-01-02 07:15:00,10128.788086
2017-01-02 07:30:00,10128.788086
2017-01-02 07:45:00,10128.788086
2017-01-02 08:15:00,10128.788086
2017-01-02 08:30:00,10128.788086
2017-01-02 08:45:00,10128.788086
2017-01-02 09:00:00,10127.2728516
2017-01-02 09:15:00,10125.7576172
2017-01-02 09:30:00,10121.2123046
2017-01-02 09:45:00,10113.6367186
2017-01-02 10:00:00,10104.5458982
2017-01-02 10:15:00,10093.9398436
2017-01-02 10:30:00,10083.333789
2017-01-02 11:00:00,10075.7578126
2017-01-02 11:15:00,10069.6970704
2017-01-02 11:30:00,10065.1515626
2017-01-02 11:45:00,10063.6365234
2017-01-02 12:00:00,10059.0914062
2017-01-02 12:15:00,10051.5158202
2017-01-02 12:30:00,10045.4552734
2017-01-02 12:45:00,10037.8794922
2017-01-02 13:00:00,10030.303711
2017-01-02 13:45:00,10025.7580078
2017-01-02 14:00:00,10024.2427734
2017-01-02 14:15:00,10022.727539
2017-01-02 14:30:00,10022.727539
2017-01-02 14:45:00,10022.727539
2017-01-02 15:00:00,10022.727539
2017-01-02 15:15:00,10022.727539
2017-01-02 15:30:00,10022.727539
2017-01-02 15:45:00,10024.2427734
2017-01-02 16:15:00,10028.7884766
2017-01-02 16:30:00,10036.3642578
2017-01-02 16:45:00,10043.940039
2017-01-02 17:00:00,10053.0308594
2017-01-02 17:15:00,10060.6064454
2017-01-02 17:30:00,10068.1820312
2017-01-02 17:45:00,10074.2427734
2017-01-02 18:00:00,10083.333789
2017-01-02 18:15:00,10090.9097654
2017-01-02 18:30:00,10101.51582
2017-01-02 19:00:00,10109.091406
2017-01-02 19:15:00,10115.1517576
2017-01-02 19:30:00,10118.1818358
2017-01-02 19:45:00,10121.211914
2017-01-02 20:00:00,10122.7271484
2017-01-02 20:15:00,10124.2423828
2017-01-02 20:30:00,10125.7576172
2017-01-02 20:45:00,10127.2728516
2017-01-02 21:00:00,10128.788086
2017-01-02 21:30:00,10128.788086
2017-01-02 21:45:00,10128.788086
2017-01-02 22:00:00,10128.788086
2017-01-02 22:15:00,10128.788086
2017-01-02 22:30:00,10128.788086
2017-01-02 22:45:00,10128.788086
2017-01-02 23:00:00,10128.788086
2017-01-02 23:15:00,10128.788086
2017-01-02 23:30:00,10128.788086
