"datetime";"T1A2";"T1A3";"T1A4";"T1B2";"T1B3";"T1B4";"T1B5";"T1C2";"T1C4";"T2A1";"T2A2";"T2A3";"T2A4";"T2B2";"T2B3";"T2B4";"T2C1";"T2C2";"T2C3";"T2C4";"T3A2";"T3A3";"T3A5";"T3B1";"T3B2";"T3B3";"T3B4";"T3C1";"T3C3";"T3C4";"T3C5";"phase"
"14";2021-06-01 17:45:00;3598.485107;2174.24292;17484.84766;2257.575928;5719.698242;2696.969971;30.302999;90.908997;5757.576172;1075.758057;439.394012;3022.727051;4795.455078;0;0;0;6636.36377;439.394012;8348.486328;60.605999;0;1172.727905;0;2113.636963;7325.757813;1886.364014;1468.182007;25000;2871.211914;11257.5752;9060.606445;"Increment"
"15";2021-06-01 18:00:00;3598.485107;2174.24292;17477.27148;2265.1521;5719.698242;2712.121094;30.302999;83.333;5787.878906;1075.758057;439.394012;3015.150879;4803.030762;0;0;0;6636.36377;462.121002;8356.060547;60.605999;0;1150.000977;0;2113.636963;7325.757813;1886.364014;1468.182007;25000;2863.636963;11257.5752;9068.181641;"Increment"
"16";2021-06-01 18:15:00;3606.061035;2181.818115;17469.69727;2280.302979;5719.698242;2719.697021;30.302999;83.333;5848.484863;1068.182007;439.394012;3015.150879;4803.030762;0;0;0;6636.36377;469.696991;8348.486328;60.605999;0;1086.364014;0;2113.636963;7348.484863;1895.454956;1477.272949;25000;2878.788086;11295.4541;9113.636719;"Increment"
"17";2021-06-01 18:30:00;3613.37027024906;2201.07084967471;17478.0034076534;2291.83273544492;5719.69824391645;2724.93222386231;30.3030547536255;78.4944896857979;5870.13918552302;1058.84947735279;439.834556525187;3015.6022301138;4794.6679146091;0;7.67386154620908e-13;-0.0111174978401936;6634.69861696561;463.799056442929;8337.03257015274;60.6059989999999;2.06821320299496e-256;1061.60114339585;1.69427586482357e-276;2114.74213830663;7364.94752086223;1904.35441603574;1492.22893508405;24998.0740866498;2900.16178579799;11321.4352529916;9135.41591761229;"Increment"
"18";2021-06-01 18:45:00;3628.788086;2227.272949;17484.84766;2295.455078;5719.698242;2727.272949;30.302999;75.758003;5886.36377;1075.758057;439.394012;3015.150879;4795.455078;0;0;0;6636.36377;477.27301;8348.486328;60.605999;0;1068.182007;0;2113.636963;7393.938965;1918.182007;1509.090942;24992.42383;2931.818115;11340.90918;9143.939453;"Increment"
"19";2021-06-01 19:00:00;3659.091064;2265.1521;17477.27148;2295.455078;5719.698242;2727.272949;30.302999;83.333;5931.817871;1128.787964;439.394012;3015.150879;4818.182129;0;0;0;6643.939941;530.302979;8393.939453;60.605999;0;1063.636963;0;2113.636963;7446.970215;1940.909058;1527.272949;24984.84766;2977.272949;11378.78809;9166.666992;"Increment"
"20";2021-06-01 19:15:00;3681.818115;2325.758057;17484.84766;2303.030029;5719.698242;2734.849121;30.302999;83.333;5954.545898;1159.090942;446.970001;3015.150879;4848.484863;0;-1.81898940354586e-12;0;6651.516113;575.757996;8431.818359;60.605999;0;1031.81897;0;2131.818115;7469.698242;1959.090942;1550;24984.84766;3007.575928;11431.81836;9189.394531;"Increment"
"21";2021-06-01 19:30:00;3689.394043;2340.908936;17484.84766;2310.605957;5719.698242;2734.849121;30.302999;75.758003;5977.272949;1174.241943;454.545013;3015.150879;4871.211914;0;0;0;6674.243164;590.908997;8462.121094;60.605999;0;1027.272949;0;2136.364014;7492.424805;1977.272949;1563.635986;24984.84766;3022.727051;11446.96973;9196.969727;"Increment"
"22";2021-06-01 19:45:00;3696.969971;2356.061035;17477.27148;2310.605957;5719.698242;2734.849121;30.302999;83.333;5984.848145;1196.969971;469.696991;3015.150879;4886.36377;0;0;0;6696.970215;613.635986;8492.424805;60.605999;0;995.454956;0;2136.364014;7507.576172;1981.817993;1572.727051;24984.84766;3037.878906;11454.5459;9204.545898;"Increment"
"23";2021-06-01 20:00:00;3696.969971;2356.061035;17484.84766;2325.758057;5719.698242;2742.424072;30.302999;75.758003;6000;1212.120972;469.696991;3015.150879;4901.515137;0;0;0;6704.545898;628.788025;8507.576172;60.605999;0;995.454956;0;2145.455078;7507.576172;1990.909058;1586.364014;24984.84766;3030.302979;11462.12109;9204.545898;"Increment"
"24";2021-06-01 20:15:00;3704.544922;2356.061035;17492.42383;2340.908936;5719.698242;2757.575928;30.302999;75.758003;6015.151855;1219.697021;477.27301;3015.150879;4901.515137;2.27373675443232e-13;0;0;6712.12207;636.364014;8515.151367;60.605999;0;981.81897;0;2145.455078;7515.151855;2000;1586.364014;24977.27344;3037.878906;11477.27344;9212.121094;"Increment"
"25";2021-06-01 20:30:00;3706.56130062008;2362.52699157232;17492.4721782088;2345.53808085724;5719.69824171637;2758.95328767482;30.3029989950459;76.4370659002446;6016.45222567799;1219.45693792706;484.071285170523;3015.13869426713;4899.24465801742;0;66.9360023795998;0;6711.78061929288;643.742535854763;8512.44278715608;60.6059990013395;-2.3275671424321e-252;974.46197519743;-1.90673806137031e-272;2143.56688694218;7516.98179244227;2001.15242671737;1583.4871679335;24973.0515267331;3038.49454498804;11481.2439215722;9208.36723846432;"Increment"
"26";2021-06-01 20:45:00;3704.544922;2371.211914;17492.42383;2348.485107;5719.698242;2757.575928;30.302999;75.758003;6015.151855;1219.697021;484.847992;3015.150879;4901.515137;0;0;0;6712.12207;643.939026;8515.151367;60.605999;0;972.727905;0;2145.455078;7515.151855;2000;1586.364014;24977.27344;3037.878906;11484.84863;9204.545898;"Increment"
